"Row-names","Symbol","T-C___log2FoldChange","T-C___padj","data","C1","C2","C3","C4","T1","T2","T3","T4"
"ENSRNOG00000017352","Ctdnep1",-0.165765140853447,0.691576639777076," ",5.2346242093102,4.8996872065541,4.95093659579142,5.15444795911597,4.84865187410345,4.93673706000644,5.01110605602069,4.85137706297938
"ENSRNOG00000017354","Zyx",0.905496202858453,0.0730745463830098," ",4.43796274023528,3.87440999862249,3.52048668271296,2.90505700106373,4.84865187410345,4.93673706000644,4.62028687764331,4.48778097458873
"ENSRNOG00000017359","Itm2c",0.310458260651678,0.131024858480183," ",6.84188155332281,6.76566831627133,6.59657911043591,6.95790304659204,7.09625458247374,7.07324687518384,7.02738699710819,7.19740105337618
"ENSRNOG00000017365","Klhl35",-0.307329237544395,NA," ",0.955888976426942,1.33253708570291,1.31990793961555,0,0.719679163848423,1.24975165471999,0.71167093792883,0.777832262941357
"ENSRNOG00000017369","Mustn1",-0.499528505927304,NA," ",3.24153069449549,2.01324909346388,1.99747436360799,2.41331857269211,1.842883542693,1.90920078527791,2.60918725059878,2.19306633226287
"ENSRNOG00000017372","Higd2a",-1.06375241651662,0.00163860041987707," ",5.27019183304054,6.05079388181263,5.8546706406783,6.3407256557787,4.81589621276471,4.96883295441473,4.86090281302614,4.77812710796262
"ENSRNOG00000017373","Rhobtb2",0.499374123232369,NA," ",2.73088929068579,2.82248684954276,2.45667615953896,2.41331857269211,3.2339808219747,2.98002973018284,2.88303386937755,3.14731970635557
"ENSRNOG00000017376","Il21",-1.12696161402378,NA," ",0.955888976426942,0,0,0,0,0,0,0.777832262941357
"ENSRNOG00000017380","RGD1306746",-0.00382249925767907,NA," ",2.5106765642962,2.82248684954276,1.99747436360799,2.41331857269211,2.46668202036372,2.15218735069341,2.4499307335768,2.74769282195732
"ENSRNOG00000017382","Snx33",0.250659269485638,0.695976248714256," ",3.82342772734509,3.71672909254474,3.52048668271296,3.27112163087974,3.80077726211954,3.9513127760188,3.90971511485316,3.79305820021772
"ENSRNOG00000017383","Hikeshi",-1.13276668224913,0.00484150976634423," ",4.86756224119692,5.28396967031913,5.47244071531963,6.13405090056094,4.25631939191014,4.52657451329249,4.46232026727742,4.23754979278758
"ENSRNOG00000017386","Il11",0.594622498200057,NA," ",0,0,0,1.66151763179207,0.719679163848423,0.756171397546499,0.71167093792883,0.777832262941357
"ENSRNOG00000017392","Fgf2",-0.136626686396528,NA," ",2.25068820939312,2.47387916348192,1.99747436360799,2.41331857269211,1.842883542693,2.54176682048718,2.27088736683398,1.94793199463306
"ENSRNOG00000017396","Marchf5",-0.283675603513173,0.359530482331412," ",5.61260319248223,5.71774109741785,5.56655810650412,5.53708845387943,5.33827327688473,5.33174598676168,5.31830558086767,5.35807803968993
"ENSRNOG00000017397","Upf3a",-0.155827326167167,0.80121169603555," ",3.91615348986154,4.26464308168933,3.99684226304938,4.01296541855242,3.9288389978285,3.8167068072035,3.84716471914885,4.00050549042627
"ENSRNOG00000017399","Acrbp",-0.649120410158548,NA," ",0.955888976426942,1.33253708570291,1.31990793961555,0,0.719679163848423,0.756171397546499,1.18611994618132,0
"ENSRNOG00000017401","Tmco4",0.422271470771408,NA," ",1.52584291029544,1.33253708570291,1.31990793961555,1.66151763179207,1.5560356300827,1.90920078527791,1.82814379798016,1.65244434354464
"ENSRNOG00000017403","Apobr",-0.794654699681931,NA," ",0.955888976426942,1.33253708570291,1.31990793961555,1.66151763179207,0.719679163848423,0.756171397546499,1.18611994618132,0.777832262941357
"ENSRNOG00000017404","Pcmtd2",-0.250334116591815,0.605073805541887," ",4.49919624944146,4.47627308369995,4.55136385368544,4.50047786124213,4.39583664732196,4.13225258190995,4.18728436190234,4.34290480619212
"ENSRNOG00000017405","Raly",0.00351490183766329,0.994000521360415," ",5.86607333778826,5.63199057732563,5.89150594306613,6.042310308538,5.83978255084027,5.94561269376775,5.73583041326329,5.91427450798246
"ENSRNOG00000017406","Atrnl1",-0.392197526541769,0.456180818777929," ",3.82342772734509,4.66079332907106,4.2447365003696,4.75285003096457,3.9288389978285,4.01418148950127,3.90971511485316,4.12389066768781
"ENSRNOG00000017408","Fam160a2",0.487959252941752,NA," ",2.25068820939312,2.01324909346388,1.99747436360799,1.66151763179207,2.46668202036372,2.3600873807123,2.4499307335768,2.40253563482961
"ENSRNOG00000017409","Wnt6",-0.12665244929774,NA," ",2.25068820939312,2.01324909346388,1.99747436360799,1.66151763179207,2.28714559307712,1.61683158547724,2.06643335096257,1.65244434354464
"ENSRNOG00000017412","AABR07001512.1",-1.05574097925519,NA," ",0.955888976426942,2.82248684954276,2.45667615953896,2.90505700106373,1.5560356300827,1.61683158547724,1.5425549484562,1.65244434354464
"ENSRNOG00000017414","Irf7",-0.744365586131211,NA," ",2.92189743353692,2.82248684954276,3.99684226304938,3.27112163087974,3.13122549985147,2.3600873807123,2.60918725059878,2.40253563482961
"ENSRNOG00000017416","Ppic",0.0104261037887232,0.992496294793104," ",4.00327773883335,3.10303743162437,3.52048668271296,4.01296541855242,3.80077726211954,3.21226256974324,3.96966585806553,3.79305820021772
"ENSRNOG00000017417","Gabarap",-1.14794588259204,0.000322050297104087," ",8.9105671509346,9.17115980448235,9.45401717757259,10.1342363298215,8.24039135684549,8.147159090332,8.45310391125088,8.50493109194585
"ENSRNOG00000017418","Rps3",-2.15125522819932,1.49585280102245e-06," ",8.3700808371568,9.4120752016324,9.65752293767154,10.5152268682196,7.22658198924355,7.4763300211499,7.55829629888921,7.81156736319479
"ENSRNOG00000017419","Map3k4",0.8741759045711,0.209355477596482," ",3.09054797792124,2.82248684954276,2.45667615953896,2.41331857269211,3.66023084185906,3.58784966025313,3.48583858098504,3.45992179377379
"ENSRNOG00000017420","Nudt6",-0.911166236993699,NA," ",2.25068820939312,2.01324909346388,2.45667615953896,1.66151763179207,1.842883542693,1.24975165471999,1.5425549484562,1.28042511035634
"ENSRNOG00000017421","Alpk2",0.191815088368068,NA," ",0.955888976426942,0,0,0,0,0.756171397546499,0.71167093792883,0.777832262941357
"ENSRNOG00000017422","Ambra1",0.449186404010934,0.541263697142905," ",3.24153069449549,3.33781246848906,2.80446811925906,2.41331857269211,3.50449991571154,3.50271711131983,3.40128875402947,3.36305685110139
"ENSRNOG00000017424","Chrna2",-0.4016816180655,NA," ",0.955888976426942,0,0,0,0.719679163848423,0.756171397546499,0,0
"ENSRNOG00000017426","Rragc",-0.291152342002834,0.438105854268437," ",5.08287750208204,4.97126923447695,5.2061760109258,5.39596539622535,4.84865187410345,4.80069775244413,5.01110605602069,4.81521692553852
"ENSRNOG00000017427","LOC100909840",-0.26219987333457,0.44141454510575," ",5.64005042295434,6.11541468732389,6.0947128160416,6.26157210541759,5.82339668468509,5.73779988324429,5.47130412222424,5.98107828329046
"ENSRNOG00000017428","Map1b",1.57872641073466,4.46698782273175e-10," ",7.02999265005744,6.57204089436538,6.50446320074404,6.48708663969003,8.5326746319903,8.30948595824158,8.24142078890308,7.83884033829807
"ENSRNOG00000017429","Lat",-0.405627605867483,NA," ",0,0,0,0,0,0,0.71167093792883,0
"ENSRNOG00000017431","RGD1304884",1.13495580260814,0.00219711553614781," ",4.66869429460755,4.26464308168933,4.12610721590833,3.56284765376128,5.5119198452768,5.42724236212899,5.24741827133285,5.28063322916443
"ENSRNOG00000017434","Mgat3",0.767946371543457,0.15368636970832," ",4.08543886138466,3.71672909254474,3.31889680020623,2.90505700106373,4.52304349465199,4.52657451329249,4.13587917857511,4.23754979278758
"ENSRNOG00000017438","AABR07007068.1",0.728018701776824,0.160627942289836," ",3.72433037676754,3.33781246848906,3.85484505935888,3.27112163087974,4.25631939191014,4.24138740140882,4.46232026727742,4.12389066768781
"ENSRNOG00000017441","Tpm3",-0.495687442353154,0.0515367690419501," ",6.46595866755633,6.14667110647402,6.50446320074404,6.68206887635302,5.83978255084027,6.06919157815307,6.11340629588169,5.80788447903932
"ENSRNOG00000017443","Tmem87b",0.304740308857926,0.60204131893972," ",3.91615348986154,3.71672909254474,3.69733061414405,3.56284765376128,4.10185124762578,3.9513127760188,3.96966585806553,4.12389066768781
"ENSRNOG00000017444","Nrsn1",-1.05007242411157,0.00344638103990905," ",5.16074507964881,6.05079388181263,5.89150594306613,6.22030488673179,4.84865187410345,4.87032029529059,4.54346454497975,5.01971612493193
"ENSRNOG00000017445","Tubb2b",0.0600955480606275,0.843434248011101," ",7.30325423179633,7.05642422279946,7.42291586304901,7.58035079964031,7.23898988888284,7.573462891274,7.50357967985566,7.27266555766014
"ENSRNOG00000017446","Ndufs8",-0.872101627658343,0.00103188550730516," ",6.3871584646139,6.86297615448352,6.96820192699086,7.18936912519512,5.82339668468509,6.11293444426046,5.88339312805621,6.15027871026142
"ENSRNOG00000017447","Eif2s2",-1.18816465156817,6.30655224513426e-05," ",6.93346541689404,7.32586697569677,7.55507010535989,8.04955420715318,6.17292217136324,6.26285154951994,6.37960841464923,6.48549987575568
"ENSRNOG00000017448","Exoc3l2",-0.0668465222418961,NA," ",0.955888976426942,0,1.31990793961555,0,0.719679163848423,0.756171397546499,0.71167093792883,0.777832262941357
"ENSRNOG00000017453","Ptpn2",-0.643140790881479,0.270822391211264," ",3.72433037676754,3.71672909254474,3.85484505935888,4.01296541855242,3.2339808219747,2.98002973018284,3.40128875402947,3.25921712871403
"ENSRNOG00000017456","Vstm2b",0.436530355743472,NA," ",2.25068820939312,2.47387916348192,3.31889680020623,2.41331857269211,3.13122549985147,2.98002973018284,2.88303386937755,3.14731970635557
"ENSRNOG00000017459","C1ql3",0.378517831388088,NA," ",2.5106765642962,2.47387916348192,2.80446811925906,1.66151763179207,3.02058636635697,2.54176682048718,2.75259838798667,2.74769282195732
"ENSRNOG00000017460","Imp3",-0.497346106979292,0.486037765626336," ",3.37819882731892,3.33781246848906,3.31889680020623,3.56284765376128,2.90075238056756,3.10081397323126,2.60918725059878,3.14731970635557
"ENSRNOG00000017462","Spata5",-0.00693031033865722,NA," ",2.73088929068579,2.82248684954276,2.80446811925906,3.27112163087974,2.62632841557738,2.84820163537834,3.11309998781388,2.89355140891824
"ENSRNOG00000017463","Bloc1s3",-0.902395831680346,NA," ",3.09054797792124,2.82248684954276,2.80446811925906,2.90505700106373,2.46668202036372,1.90920078527791,1.82814379798016,2.40253563482961
"ENSRNOG00000017466","Kif5b",-0.148503289253536,0.563114105056242," ",7.0090933659302,7.18242330961957,7.17656384929899,6.9827939312178,6.84347607940581,6.84153792765701,6.84734888169816,7.211380801304
"ENSRNOG00000017467","Rab4a",-0.425206355804893,0.174676054292014," ",5.61260319248223,6.14667110647402,5.6549097633868,6.26157210541759,5.5119198452768,5.49493252788396,5.45041575997074,5.54631954688814
"ENSRNOG00000017468","Trappc6a",-1.01863829359894,NA," ",1.52584291029544,2.47387916348192,2.45667615953896,2.90505700106373,1.842883542693,1.61683158547724,0.71167093792883,1.94793199463306
"ENSRNOG00000017469","Anxa1",-0.566752996670119,0.286772597018061," ",6.32086481950819,5.33912830561585,5.52026676928666,6.41576138714702,5.1670387801568,4.61035058741085,5.92940713663704,5.63196523910303
"ENSRNOG00000017473","Ttc25",-0.0668465222418961,NA," ",0.955888976426942,0,1.31990793961555,0,0.719679163848423,0.756171397546499,0.71167093792883,0.777832262941357
"ENSRNOG00000017477","Mmp23",0.145102309811401,NA," ",1.52584291029544,2.01324909346388,1.31990793961555,1.66151763179207,1.842883542693,1.61683158547724,1.82814379798016,1.65244434354464
"ENSRNOG00000017478","Pcsk7",0.382480289785988,NA," ",2.92189743353692,2.82248684954276,2.45667615953896,2.41331857269211,3.2339808219747,2.98002973018284,2.88303386937755,3.02600807093504
"ENSRNOG00000017481","Sucla2",-0.364102585201957,0.180767835984879," ",5.91183047440128,6.29353673544707,6.15655000422427,6.22030488673179,5.79005583331834,5.70005622326295,5.68308683470011,5.9312676836052
"ENSRNOG00000017484","Gja5",-0.422255933983796,NA," ",0.955888976426942,0,0,0,0.719679163848423,0,0.71167093792883,0
"ENSRNOG00000017485","Cd72",-1.77249189974828,NA," ",0.955888976426942,0,0,1.66151763179207,0,0,0.71167093792883,0
"ENSRNOG00000017488","Snx24",-0.549977315348407,0.189632990813688," ",4.43796274023528,4.66079332907106,4.80410686241496,4.86420531444165,4.15519952640631,4.13225258190995,4.13587917857511,4.1818392346777
