Identifier,C1,C2,C3,C4,T1,T2,T3,T4
ENSRNOG00000015248,0.082495598,0.007778209,0,0,0.015639413,0.028626153,0.063397943,0.039283705
ENSRNOG00000015511,22.00812043,12.11683776,13.05650932,7.078652768,35.87730443,33.46782244,42.41908736,31.69441174
ENSRNOG00000014288,56.38541743,27.06122361,21.1382322,20.22332106,153.5225075,70.04418751,188.9126043,45.27618687
ENSRNOG00000037894,0,0.151868573,0,0,0,0,0,0
ENSRNOG00000054342,0,0.214968895,1.518596847,0,0,0,0,0
ENSRNOG00000051933,0,0,0,0,0,0,0,0.097144865
ENSRNOG00000060393,0,0,0,0,0,0,0,0
ENSRNOG00000059671,0,0.061419684,0,0,0,0,0,0
ENSRNOG00000059494,0,0,0,0,0,0,0,0
ENSRNOG00000015774,6.611721743,4.322206464,3.611138533,3.419891758,6.141865757,6.882845826,7.24058774,7.66121836
ENSRNOG00000054184,109.9359046,137.4450341,321.5418128,238.6585735,53.98594344,49.4075418,110.7248386,56.50169145
ENSRNOG00000061106,18.4033673,20.45693531,16.70933578,24.36870362,7.712277634,10.58733039,11.07248386,8.071670208
ENSRNOG00000061528,14.52897418,20.13729569,14.9029211,30.17077591,10.28303685,7.646405279,14.98041934,7.533558861
ENSRNOG00000057887,3.874393115,5.43387344,4.516036697,14.69858313,0.642689803,0,3.907935479,0.538111347
ENSRNOG00000055295,10.44488859,5.455425096,6.656660102,6.001601989,15.0575277,10.13006551,14.75449347,15.44611247
ENSRNOG00000016091,2.984890119,2.271577804,1.704108678,1.508245858,4.324877017,3.88411281,3.850459532,5.110197354
ENSRNOG00000016105,16.79218122,11.32074607,14.51605843,10.44734653,29.02669563,25.82102457,30.62814619,28.30734008
ENSRNOG00000016472,0.487104453,0.610833154,0,0.194522697,2.585650392,1.478980241,1.965286141,2.922633194
ENSRNOG00000016503,6.761778919,3.371896774,3.138630832,1.560163038,8.295250321,8.723215739,8.366257583,7.947194808
ENSRNOG00000023385,327.7995326,371.4066224,404.3646447,454.514561,215.7138438,232.4772328,270.0781703,279.42354
ENSRNOG00000058100,0,0,0,0,0,0,0,0
ENSRNOG00000016957,51.74282274,27.8068984,38.81533541,22.51022734,93.21613068,74.25192568,73.47529316,75.79970964
ENSRNOG00000017206,179.1992678,68.01387177,97.60813594,69.59756826,372.2372565,264.9433606,404.8704876,189.4916086
ENSRNOG00000017611,0,0,0,0,0,0,0,0
ENSRNOG00000052067,0,0,0,0,0,0,0,0
ENSRNOG00000056522,0,0,0,0.432045149,0,0,0,0
ENSRNOG00000049222,0,0,0,0,0,0,0,0
ENSRNOG00000059378,0,0,0,0,0,0,0,0
ENSRNOG00000057288,0,0,0,0,0,0,0,0
ENSRNOG00000044889,0,0,0,0,0,0,0,0
ENSRNOG00000014182,11.2127174,3.53543479,3.315921923,2.308363588,31.80794106,23.33977436,29.50822648,18.24235319
ENSRNOG00000058128,0,0,0,0,0,0,0,0
